Section,Subsection,,Link(s),Title,Author(s),Affiliation,PMID,PMCID,PubDate,MeSH,Abstract,PubType
,,"Neurologic safety monitoring of COVID-19 vaccines, lessons learned from the past to inform the present: https://pubmed.ncbi.nlm.nih.gov/34475124/",https://pubmed.ncbi.nlm.nih.gov/34475124 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8548963/,Neurologic Safety Monitoring of COVID-19 Vaccines: Lessons From the Past to Inform the Present.,"Thakur, Kiran Teresa; Epstein, Samantha; Bilski, Amanda; Balbi, Alanna; Boehme, Amelia K; Brannagan, Thomas H; Wesley, Sarah Flanagan; Riley, Claire S","From the Department of Neurology, Columbia University Irving Medical Center and New York Presbyterian Hospital, New York. ktt2115@cumc.columbia.edu.; From the Department of Neurology, Columbia University Irving Medical Center and New York Presbyterian Hospital, New York.; From the Department of Neurology, Columbia University Irving Medical Center and New York Presbyterian Hospital, New York.; From the Department of Neurology, Columbia University Irving Medical Center and New York Presbyterian Hospital, New York.; From the Department of Neurology, Columbia University Irving Medical Center and New York Presbyterian Hospital, New York.; From the Department of Neurology, Columbia University Irving Medical Center and New York Presbyterian Hospital, New York.; From the Department of Neurology, Columbia University Irving Medical Center and New York Presbyterian Hospital, New York.; From the Department of Neurology, Columbia University Irving Medical Center and New York Presbyterian Hospital, New York.",34475124,PMC8548963,2021-10-19 00:00:00,Ad26COVS1; COVID-19/*epidemiology/*prevention & control; COVID-19 Vaccines/*administration & dosage/adverse effects; ChAdOx1 nCoV-19; Humans; Measles-Mumps-Rubella Vaccine/administration & dosage/adverse effects; Nervous System Diseases/chemically induced/diagnosis/*epidemiology; Poliovirus Vaccines/administration & dosage/adverse effects; Vaccination/adverse effects/*trends,"The spread of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has triggered a global effort to rapidly develop and deploy effective and safe coronavirus disease 2019 (COVID-19) vaccinations. Vaccination has been one of the most effective medical interventions in human history, although potential safety risks of novel vaccines must be monitored, identified, and quantified. Adverse events must be carefully assessed to define whether they are causally associated with vaccination or coincidence. Neurologic adverse events following immunizations are overall rare but with significant morbidity and mortality when they occur. Here, we review neurologic conditions seen in the context of prior vaccinations and the current data to date on select COVID-19 vaccines including mRNA vaccines and the adenovirus-vector COVID-19 vaccines, ChAdOx1 nCOV-19 (AstraZeneca) and Ad26.COV2.S Johnson & Johnson (Janssen/J&J).",Vaccine Publication
,,Neurological side effects after first dose AstraZeneca and COVID-19 infection: https://pubmed.ncbi.nlm.nih.gov/34697502/,https://pubmed.ncbi.nlm.nih.gov/34697502 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8629105/,Neurological complications after first dose of COVID-19 vaccines and SARS-CoV-2 infection.,"Patone, Martina; Handunnetthi, Lahiru; Saatci, Defne; Pan, Jiafeng; Katikireddi, Srinivasa Vittal; Razvi, Saif; Hunt, David; Mei, Xue W; Dixon, Sharon; Zaccardi, Francesco; Khunti, Kamlesh; Watkinson, Peter; Coupland, Carol A C; Doidge, James; Harrison, David A; Ravanan, Rommel; Sheikh, Aziz; Robertson, Chris; Hippisley-Cox, Julia","Nuffield Department of Primary Health Care Sciences, University of Oxford, Oxford, UK.; Nuffield Department of Clinical Neurosciences, University of Oxford, Oxford, UK.; Wellcome Centre for Human Genetics, University of Oxford, Oxford, UK.; Nuffield Department of Primary Health Care Sciences, University of Oxford, Oxford, UK.; Department of Mathematics and Statistics, University of Strathclyde, Glasgow, UK.; MRC/CSO Social and Public Health Sciences Unit, University of Glasgow, Glasgow, UK.; Institute of Neurological Sciences, Glasgow, UK.; Centre for Clinical Brain Sciences and UK Dementia Research Institute, University of Edinburgh, Edinburgh, UK.; Nuffield Department of Primary Health Care Sciences, University of Oxford, Oxford, UK.; Nuffield Department of Primary Health Care Sciences, University of Oxford, Oxford, UK.; Leicester Real World Evidence Unit, Leicester Diabetes Centre, University of Leicester, Leicester, UK.; Leicester Real World Evidence Unit, Leicester Diabetes Centre, University of Leicester, Leicester, UK.; Nuffield Department of Clinical Neurosciences, University of Oxford, Oxford, UK.; NIHR Biomedical Research Centre, Oxford University Hospitals NHS Trust, Oxford, UK.; Nuffield Department of Primary Health Care Sciences, University of Oxford, Oxford, UK.; Division of Primary Care, School of Medicine, University of Nottingham, Nottingham, UK.; Intensive Care National Audit and Research Centre, London, UK.; London School of Hygiene and Tropical Medicine, London, UK.; Intensive Care National Audit and Research Centre, London, UK.; London School of Hygiene and Tropical Medicine, London, UK.; NHS Blood and Transplant, Bristol, UK.; Department of Mathematics and Statistics, University of Strathclyde, Glasgow, UK.; Usher Institute, University of Edinburgh, Edinburgh, UK.; Department of Mathematics and Statistics, University of Strathclyde, Glasgow, UK.; Public Health Scotland, Glasgow, UK.; Nuffield Department of Primary Health Care Sciences, University of Oxford, Oxford, UK. julia.hippisley-cox@phc.ox.ac.uk.",34697502,PMC8629105,2021-12-01 00:00:00,"Adolescent; Adult; Aged; Aged, 80 and over; BNT162 Vaccine/*adverse effects/immunology; Bell Palsy/*epidemiology/virology; COVID-19/diagnosis/immunology/*pathology; ChAdOx1 nCoV-19/*adverse effects/immunology; England/epidemiology; Female; Guillain-Barre Syndrome/*epidemiology/virology; Hemorrhagic Stroke/*epidemiology/virology; Hospitalization/statistics & numerical data; Humans; Male; Middle Aged; Nervous System Diseases/epidemiology/virology; SARS-CoV-2/immunology; Scotland/epidemiology; Young Adult","Emerging reports of rare neurological complications associated with COVID-19 infection and vaccinations are leading to regulatory, clinical and public health concerns. We undertook a self-controlled case series study to investigate hospital admissions from neurological complications in the 28 days after a first dose of ChAdOx1nCoV-19 (n = 20,417,752) or BNT162b2 (n = 12,134,782), and after a",Vaccine Publication
,,Combined central and peripheral demyelination with Anti-neurofascin155 IgG following AstraZeneca: https://pubmed.ncbi.nlm.nih.gov/35107062/,https://pubmed.ncbi.nlm.nih.gov/35107062 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8814467/,Combined Central and Peripheral Demyelination with Anti-Neurofascin155 IgG Following COVID-19 Vaccination.,"Matteo, Eleonora; Romoli, Michele; Calabrò, Calogero; Piccolo, Laura; Lazzarotto, Tiziana; Suserea, Manuela; Contardi, Sara; Stagni, Silvia; Gabrielli, Liliana; Forlivesi, Stefano; Bassi, Mirna; Borsari, Morena; Sacripanti, Chiara; Merli, Elena; Naldi, Federica; Kaveh, Keivan M; Borghi, Annamaria; Magni, Elisabetta; Simonetti, Luigi; Descovich, Carlo; Vegezzi, Elisa; Gastaldi, Matteo; Zini, Andrea","Department of Biomedical and Neuromotor Sciences, Alma Mater-University of Bologna, Bologna, Italy.; IRCCS Istituto delle Scienze Neurologiche di Bologna, Department of Neurology and Stroke Center, Maggiore Hospital, Bologna, Italy.; Neurology and Stroke Unit, ""Bufalini"" Hospital, Cesena, Italy.; Department of Biomedical and Neuromotor Sciences, Alma Mater-University of Bologna, Bologna, Italy.; IRCCS Istituto delle Scienze Neurologiche di Bologna, Department of Neurology and Stroke Center, Maggiore Hospital, Bologna, Italy.; Microbiology Unit, IRCCS St. Orsola Polyclinic, Bologna, Italy.; Department of Experimental, Diagnostic and Specialty Medicine, IRCCS S. Orsola Polyclinic, Alma Mater-University of Bologna, Bologna, Italy.; IRCCS Istituto delle Scienze Neurologiche di Bologna, Department of Neurology and Stroke Center, Maggiore Hospital, Bologna, Italy.; IRCCS Istituto delle Scienze Neurologiche di Bologna, Department of Neurology and Stroke Center, Maggiore Hospital, Bologna, Italy.; IRCCS Istituto delle Scienze Neurologiche di Bologna, Neuroradiology Unit, Maggiore Hospital, Bologna, Italy.; Department of Experimental, Diagnostic and Specialty Medicine, IRCCS S. Orsola Polyclinic, Alma Mater-University of Bologna, Bologna, Italy.; IRCCS Istituto delle Scienze Neurologiche di Bologna, Department of Neurology and Stroke Center, Maggiore Hospital, Bologna, Italy.; LUM Metropolitan Laboratory, Maggiore Hospital, AUSL Bologna, Bologna, Italy.; Pharmaceutical Department, AUSL Bologna, Bologna, Italy.; Pharmaceutical Department, AUSL Bologna, Bologna, Italy.; IRCCS Istituto delle Scienze Neurologiche di Bologna, Department of Neurology and Stroke Center, Maggiore Hospital, Bologna, Italy.; IRCCS Istituto delle Scienze Neurologiche di Bologna, Department of Neurology and Stroke Center, Maggiore Hospital, Bologna, Italy.; IRCCS Istituto delle Scienze Neurologiche di Bologna, Department of Neurology and Stroke Center, Maggiore Hospital, Bologna, Italy.; IRCCS Istituto delle Scienze Neurologiche di Bologna, Department of Neurology and Stroke Center, Maggiore Hospital, Bologna, Italy.; IRCCS Istituto delle Scienze Neurologiche di Bologna, Neurorehabilitation Unit, Maggiore Hospital, Bologna, Italy.; IRCCS Istituto delle Scienze Neurologiche di Bologna, Neuroradiology Unit, Maggiore Hospital, Bologna, Italy.; Department of Clinical Governance and Quality, AUSL Bologna, Bologna, Italy.; Department of Brain and Behavioral Sciences, University of Pavia, Pavia, Italy.; Laboratory of Neuroimmunology, IRCCS National Neurological Institute C. Mondino Foundation, Pavia, Italy.; IRCCS Istituto delle Scienze Neurologiche di Bologna, Department of Neurology and Stroke Center, Maggiore Hospital, Bologna, Italy.",35107062,PMC8814467,2021-12-13 00:00:00,,,Vaccine Publication
,,Neuropathy:
Neuro,Neuropathy,Small fiber neuropathy: https://onlinelibrary.wiley.com/doi/10.1002/mus.27251... ,https://onlinelibrary.wiley.com/doi/10.1002/mus.27251?fbclid=IwAR1HGawxew4SJMoHonmJsMWpWh7Fdkh29191M84BsINLsNtOYj_R6oWqrTE
,,COVID-19 vaccinations may not only be complicated by GBS but also by distal small fiber neuropathy: https://pubmed.ncbi.nlm.nih.gov/34525410/,https://pubmed.ncbi.nlm.nih.gov/34525410 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8397486/,SARS-CoV-2 vaccinations may not only be complicated by GBS but also by distal small fibre neuropathy.,"Finsterer, Josef","Klinik Landstrasse, Messerli Institute, Vienna, Austria. Electronic address: fifigs1@yahoo.de.",34525410,PMC8397486,2021-11-15 00:00:00,*COVID-19; COVID-19 Vaccines; *Guillain-Barre Syndrome; Humans; SARS-CoV-2; *Small Fiber Neuropathy; Vaccination/adverse effects,,Vaccine Publication
,,Possible mechanisms of neuropathies associated with covid-19 vaccination: https://pubmed.ncbi.nlm.nih.gov/35119106/,https://pubmed.ncbi.nlm.nih.gov/35119106 ,Possible mechanisms of neuropathies associated with the COVID-19 vaccines.,"Maria Mirabela, Manea; Iulia, Enache; Sorin, Tuta","Neuroscience Department, Carol Davila University of Medicine and Pharmacy, Bucharest, Romania.; Neurology Department, National Institute of Neurology and Neurovascular Diseases, Bucharest, Romania.; Neurology Department, National Institute of Neurology and Neurovascular Diseases, Bucharest, Romania.; Neuroscience Department, Carol Davila University of Medicine and Pharmacy, Bucharest, Romania.; Neurology Department, National Institute of Neurology and Neurovascular Diseases, Bucharest, Romania.",35119106,,2022-05-01 00:00:00,*COVID-19/prevention & control; COVID-19 Vaccines/adverse effects; Humans; *Peripheral Nervous System Diseases; SARS-CoV-2,,Vaccine Publication
,,Acute inflammatory neuropathies with COVID-19 vaccines: subgroup disproportionality analysis in VigiBase: https://pubmed.ncbi.nlm.nih.gov/34579259/,https://pubmed.ncbi.nlm.nih.gov/34579259 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8473382/,Reporting of Acute Inflammatory Neuropathies with COVID-19 Vaccines: Subgroup Disproportionality Analyses in VigiBase.,"Noseda, Roberta; Ripellino, Paolo; Ghidossi, Sara; Bertoli, Raffaela; Ceschi, Alessandro","Division of Clinical Pharmacology and Toxicology, Institute of Pharmacological Sciences of Southern Switzerland, Ente Ospedaliero Cantonale, 6900 Lugano, Switzerland.; Neurology Department, Neurocenter of Southern Switzerland, Ente Ospedaliero Cantonale, 6900 Lugano, Switzerland.; Division of Clinical Pharmacology and Toxicology, Institute of Pharmacological Sciences of Southern Switzerland, Ente Ospedaliero Cantonale, 6900 Lugano, Switzerland.; Division of Clinical Pharmacology and Toxicology, Institute of Pharmacological Sciences of Southern Switzerland, Ente Ospedaliero Cantonale, 6900 Lugano, Switzerland.; Division of Clinical Pharmacology and Toxicology, Institute of Pharmacological Sciences of Southern Switzerland, Ente Ospedaliero Cantonale, 6900 Lugano, Switzerland.; Clinical Trial Unit, Ente Ospedaliero Cantonale, 6900 Lugano, Switzerland.; Faculty of Biomedical Sciences, Università della Svizzera Italiana, 6900 Lugano, Switzerland.; Department of Clinical Pharmacology and Toxicology, University Hospital Zurich, 8091 Zurich, Switzerland.",34579259,PMC8473382,2021-09-14 00:00:00,,"Since marketing authorization, cases of neuralgic amyotrophy (NA), facial paralysis/Bell's palsy (FP/BP), and Guillain-Barré syndrome (GBS) were reported with COVID-19 vaccines of different technologies. This study aimed to assess whether NA, FP/BP, and GBS were more frequently reported in VigiBase with",Vaccine Publication
Neuro,,POTS:
Neuro,Pots,POTS following Pfizer: https://www.cureus.com/articles/56242-a-case-of-postural-orthostatic-tachycardia-syndrome-secondary-to-the-messenger-rna-covid-19-vaccine,https://www.cureus.com/articles/56242-a-case-of-postural-orthostatic-tachycardia-syndrome-secondary-to-the-messenger-rna-covid-19-vaccine
Neuro,Pots,Autonomic dysfunction post-inoculation with ChAdOx1 nCoV-19 vaccine https://academic.oup.com/ehjcr/article/5/12/ytab472/6444985
Neuro,,"Neuralgia - Trigeminal, amytrophy:"
,,Trigeminal neuritis after Pfizer: https://pubmed.ncbi.nlm.nih.gov/34870807/,https://pubmed.ncbi.nlm.nih.gov/34870807 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8647511/,A case of trigeminal neuralgia developing after a COVID-19 vaccination.,"Kaya, Abdurrahman; Kaya, Sibel Yıldız","Department of Infectious Disease, Istanbul Training and Research Hospital, Istanbul, Turkey. dr.abdkaya@hotmail.com.; Department of Infectious Disease, Sungurlu State Hospital, Sungurlu, Turkey.",34870807,PMC8647511,2022-02-01 00:00:00,*COVID-19/prevention & control; *COVID-19 Vaccines/adverse effects; Humans; SARS-CoV-2; *Trigeminal Neuralgia/chemically induced; Vaccination/adverse effects,"In this case, we report a patient who developed acute trigeminal neuritis after using a Pfizer-BioNtech vaccination against SARS-CoV-2. The patient was completely recovered with steroid treatment.",Vaccine Publication
,,Trigeminal Neuralgia and cervical radiculitis after Pfizer: https://pubmed.ncbi.nlm.nih.gov/34155020/,https://pubmed.ncbi.nlm.nih.gov/34155020 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8217939/,Trigeminal and cervical radiculitis after tozinameran vaccination against,"Narasimhalu, Kaavya; Lee, Wai Ching; Salkade, Parag Ratnakar; De Silva, Deidre Anne","National Neuroscience Institute - Singapore General Hospital Campus, Singapore nkaavya@gmail.com.; General Medicine, Sengkang General Hospital, Singapore.; Diagnostic Radiology, Sengkang General Hospital, Singapore.; National Neuroscience Institute - Singapore General Hospital Campus, Singapore.",34155020,PMC8217939,2021-06-21 00:00:00,*COVID-19; Humans; *Neuritis; *Radiculopathy/chemically induced/drug therapy; SARS-CoV-2; Vaccination/adverse effects,"In this report, we describe a patient who developed an acute trigeminal neuritis and cervical radiculitis after receiving a Pfizer-BioNtech vaccination (tozinameran) against SARS-CoV-2.",Vaccine Publication
,,Neuralgic amyotrophy following mRNA vaccination: https://pubmed.ncbi.nlm.nih.gov/34347105/,https://pubmed.ncbi.nlm.nih.gov/34347105 ,Neuralgic amyotrophy following COVID-19 mRNA vaccination.,"Koh, J S; Goh, Y; Tan, B Y-Q; Hui, A C-F; Hoe, R H M; Makmur, A; Kei, P L; Vijayan, J; Ng, K W P; Quek, A M L; Thirugnanm, U","From the Department of Neurology, National Neuroscience Institute (Tan Tock Seng Hospital Campus), 11 Jalan Tan Tock Seng, Singapore 308433 Singapore.; Division of Neurology, Department of Medicine, National University Health System, 1E Kent Ridge Road, Singapore 119228.; Division of Neurology, Department of Medicine, National University Health System, 1E Kent Ridge Road, Singapore 119228.; Division of Neurology, Department of Medicine, Ng Teng Fong General Hospital: 1 Jurong East Street 21, Singapore 609606.; From the Department of Neurology, National Neuroscience Institute (Tan Tock Seng Hospital Campus), 11 Jalan Tan Tock Seng, Singapore 308433 Singapore.; Department of Diagnostic Imaging, National University Health System, 1E Kent Ridge Road, Singapore 119228.; Department of Radiology, Ng Teng Fong General Hospital: 1 Jurong East Street 21, Singapore 609606.; Division of Neurology, Department of Medicine, National University Health System, 1E Kent Ridge Road, Singapore 119228.; Division of Neurology, Department of Medicine, National University Health System, 1E Kent Ridge Road, Singapore 119228.; Division of Neurology, Department of Medicine, National University Health System, 1E Kent Ridge Road, Singapore 119228.; Division of Neurology, Department of Medicine, National University Health System, 1E Kent Ridge Road, Singapore 119228.",34347105,,2021-11-05 00:00:00,"*Brachial Plexus Neuritis/etiology; *COVID-19; COVID-19 Vaccines/*adverse effects; Humans; RNA, Messenger/immunology; SARS-CoV-2; Vaccination/adverse effects",,Vaccine Publication
,,Amyotrophic neuralgia secondary to AstraZeneca: https://pubmed.ncbi.nlm.nih.gov/34330677/,https://pubmed.ncbi.nlm.nih.gov/34330677 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8316086/,Amyotrophic neuralgia secondary to Vaxzevri (AstraZeneca) COVID-19 vaccine.,"Crespo Burillo, J A; Loriente Martínez, C; García Arguedas, C; Mora Pueyo, F J","Servicio de Neurología, Hospital de Barbastro, Barbastro, Spain. Electronic address: josanjoseli@hotmail.com.; Servicio de Urgencias, Hospital de Barbastro, Barbastro, Spain.; Servicio de Neurología, Hospital de Barbastro, Barbastro, Spain.; Servicio de Neurología, Hospital de Barbastro, Barbastro, Spain.",34330677,PMC8316086,2021-09-01 00:00:00,*Brachial Plexus Neuritis; *COVID-19; COVID-19 Vaccines; Humans; SARS-CoV-2; Vaccination,,Vaccine Publication
